lens_id,pair_id,z_lens,z_src,ra_deg,dec_deg,residual_R,yhat_R,G_proxy,F_kappa,kappa_ext
B1608+656,0,0.63,1.394,242.275,65.706,0.009615384615384638,0.006384432772669176,0.8218669900306095,3.6e-22,0.036
B1608+656,1,0.63,1.394,242.275,65.706,0.00558659217877103,0.006384432772669176,0.8218669900306095,3.6e-22,0.036
B1608+656,2,0.63,1.394,242.275,65.706,0.006535947712418301,0.006384432772669176,0.8218669900306095,3.6e-22,0.036
RXJ1131-1231,0,0.295,0.654,172.958,-12.532,0.007751937984496156,0.007751937984496156,0.42760415748118236,1.2e-22,0.012
