lens_id,pair_id,z_lens,z_src,ra_deg,dec_deg,residual_R,yhat_R,rad_G,F_kappa
B1608+656,0,0.63,1.394,242.275,65.706,0.009615384615384638,0.0030400509644484225,0.8218669900306095,3.6e-22
B1608+656,1,0.63,1.394,242.275,65.706,0.00558659217877103,0.0030400509644484225,0.8218669900306095,3.6e-22
B1608+656,2,0.63,1.394,242.275,65.706,0.006535947712418301,0.0030400509644484225,0.8218669900306095,3.6e-22
RXJ1131-1231,0,0.295,0.654,172.958,-12.532,0.007751937984496156,0.014264681505768166,0.42760415748118236,1.2e-22
HE0435-1223,0,0.454,1.693,69.676,-12.381,0.025641025641025664,0.01424018931125935,0.4284644407768804,2.5000000000000002e-22
HE0435-1223,1,0.454,1.693,69.676,-12.381,0.050000000000000044,0.01424018931125935,0.4284644407768804,2.5000000000000002e-22
HE0435-1223,2,0.454,1.693,69.676,-12.381,0.014084507042253596,0.01424018931125935,0.4284644407768804,2.5000000000000002e-22
